 borough ,year,theft,robbery,burglary,total_property_crime,total_crime,unemployment(tousands),earnings,number of NVQ4+ aged 16-64,Population estimate,Population per square kilometre
 Merton ,2020,2295 ,391 ,984 ,3670 ,13600 ,6300 ,578.30 ,84300 ,212658 ,5652 
 Newham ,2020,7954 ,1642 ,1883 ,11479 ,33328 ,13900 ,534.40 ,149300 ,363552 ,10043 
 Redbridge ,2020,4409 ,678 ,1729 ,6816 ,23189 ,8700 ,581.60 ,107600 ,312264 ,5535 
 Richmond upon Thames ,2020,2532 ,235 ,1299 ,4066 ,12295 ,4500 ,702.90 ,85000 ,201713 ,3514 
 Southwark ,2020,8425 ,1541 ,2546 ,12512 ,32288 ,12100 ,620.90 ,152900 ,330290 ,11444 
 Sutton ,2020,2050 ,247 ,1027 ,3324 ,13075 ,5600 ,543.30 ,72500 ,211297 ,4819 
 Tower Hamlets ,2020,7079 ,998 ,2716 ,10793 ,31722 ,12900 ,665.00 ,139000 ,328043 ,16584 
 Waltham Forest ,2020,4698 ,734 ,1850 ,7282 ,23605 ,10600 ,596.80 ,108300 ,290024 ,7473 
 Wandsworth ,2020,5278 ,784 ,2307 ,8369 ,24948 ,10800 ,755.20 ,172200 ,332731 ,9711 
 Westminster ,2020,20534 ,2150 ,3049 ,25733 ,48755 ,7800 ,701.10 ,111300 ,259981 ,12099 
 Barking and Dagenham ,2021,3230 ,575 ,1191 ,4996 ,19898 ,8600 ,523.50 ,51500 ,221495 ,6134 
 Barnet ,2021,5010 ,616 ,2391 ,8017 ,27155 ,15600 ,574.90 ,145200 ,411275 ,4741 
 Bexley ,2021,2301 ,187 ,757 ,3245 ,15001 ,6600 ,584.80 ,66900 ,256845 ,4240 
 Brent ,2021,5232 ,750 ,1836 ,7818 ,28186 ,12200 ,553.10 ,110900 ,346437 ,8013 
 Bromley ,2021,4698 ,381 ,1509 ,6588 ,22507 ,9100 ,653.00 ,121800 ,339466 ,2261 
 Camden ,2021,9723 ,1061 ,1809 ,12593 ,28178 ,8300 ,694.20 ,122600 ,259344 ,11902 
 Croydon ,2021,5350 ,829 ,2041 ,8220 ,33222 ,16700 ,613.30 ,124600 ,403461 ,4664 
 Ealing ,2021,4920 ,639 ,1876 ,7435 ,29261 ,14600 ,574.90 ,147700 ,369685 ,6656 
 Enfield ,2021,4685 ,897 ,2136 ,7718 ,29130 ,14000 ,507.90 ,108300 ,346635 ,4288 
 Greenwich ,2021,4673 ,556 ,1661 ,6890 ,26798 ,11600 ,618.90 ,117700 ,294837 ,6229 
 Hackney ,2021,8755 ,1386 ,2510 ,12651 ,31006 ,10000 ,575.10 ,151300 ,292023 ,15330 
 Hammersmith and Fulham ,2021,5802 ,435 ,1428 ,7665 ,20517 ,6800 ,714.50 ,94700 ,195981 ,11952 
 Haringey ,2021,5873 ,1217 ,2250 ,9340 ,29147 ,11000 ,542.60 ,110500 ,291330 ,9843 
 Harrow ,2021,2724 ,321 ,1093 ,4138 ,15653 ,8500 ,577.50 ,89500 ,263484 ,5221 
 Havering ,2021,3300 ,344 ,1068 ,4712 ,17144 ,7300 ,584.60 ,60800 ,265930 ,2367 
 Hillingdon ,2021,4081 ,412 ,1341 ,5834 ,23446 ,10600 ,586.00 ,99500 ,319467 ,2761 
 Hounslow ,2021,4407 ,385 ,1467 ,6259 ,23611 ,11700 ,564.60 ,101900 ,286947 ,5126 
 Islington ,2021,7375 ,993 ,1818 ,10186 ,24962 ,9900 ,665.60 ,124400 ,244372 ,16449 
 Kensington and Chelsea ,2021,5679 ,475 ,1380 ,7534 ,18390 ,4900 ,767.00 ,65200 ,161552 ,13325 
 Kingston upon Thames ,2021,2795 ,159 ,733 ,3687 ,11841 ,4600 ,667.80 ,78500 ,184660 ,4956 
 Lambeth ,2021,7419 ,1231 ,2215 ,10865 ,32287 ,11900 ,673.60 ,184100 ,342250 ,12766 
 Lewisham ,2021,4845 ,671 ,2122 ,7638 ,26892 ,10300 ,574.90 ,146000 ,320574 ,9120 
 Merton ,2021,2520 ,319 ,935 ,3774 ,12926 ,7600 ,586.30 ,93700 ,214740 ,5707 
 Newham ,2021,8695 ,1165 ,1695 ,11555 ,34232 ,14100 ,567.40 ,140500 ,366943 ,10137 
 Redbridge ,2021,4835 ,634 ,1501 ,6970 ,24131 ,12700 ,581.90 ,104500 ,316288 ,5606 
 Richmond upon Thames ,2021,2466 ,196 ,1023 ,3685 ,11055 ,4800 ,699.50 ,89000 ,203312 ,3542 
 Southwark ,2021,9102 ,1134 ,2421 ,12657 ,31917 ,11600 ,631.90 ,133600 ,332679 ,11527 
 Sutton ,2021,2118 ,230 ,908 ,3256 ,12908 ,5500 ,565.80 ,69700 ,213340 ,4866 
 Tower Hamlets ,2021,7475 ,1029 ,2505 ,11009 ,33348 ,14000 ,680.30 ,124500 ,331620 ,16764 
 Waltham Forest ,2021,4547 ,735 ,1312 ,6594 ,22498 ,12700 ,624.70 ,115600 ,292788 ,7545 
 Wandsworth ,2021,5844 ,605 ,2319 ,8768 ,25568 ,10900 ,746.70 ,164900 ,337783 ,9858 
 Westminster ,2021,21591 ,2228 ,2286 ,26105 ,51125 ,8100 ,771.60 ,106100 ,262317 ,12208 
